Text,Label
"""Nataka kujifunza zaidi kuhusu teknolojia.""",Normal
"""Sisi sote ni ndugu na tunapaswa kusaidiana.""",Normal
"""Leo ni siku nzuri ya kutembea nje.""",Normal
"""Kila mtu anahitaji nafasi ya kusema mawazo yake.""",Normal
"""Tunaweza kufanya kazi pamoja ili kufikia malengo yetu.""",Normal
"""Ninapenda kusoma vitabu vya historia.""",Normal
"""Jamii yetu inahitaji umoja na upendo.""",Normal
"""Nina furaha kuwa na marafiki wazuri.""",Normal
"""Kila mtu ana haki ya kuishi kwa amani.""",Normal
"""Tunahitaji kujifunza kutoka kwa makosa yetu.""",Normal
"""Huyu mtu ni mjinga sana.""",Offensive Language
"""Sijui kwanini unajifanya kuwa bora kuliko wengine.""",Offensive Language
"""Usijaribu kunifundisha, unajua chochote?""",Offensive Language
"""Watu wengine ni wapumbavu kabisa.""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia.""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Kila wakati unaleta matatizo tu.""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Usijaribu kunionyesha, siwezi kukusikia.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Tunahitaji kuwa na jamii safi bila hawa watu.""",Hate Speech
"""Ninapenda kujifunza lugha mpya.""",Normal
"""Jamii yetu inahitaji umoja na mshikamano.""",Normal
"""Kila mtu ana haki ya kusema mawazo yake.""",Normal
"""Tunahitaji kujenga mazingira safi kwa vizazi vijavyo.""",Normal
"""Nina furaha kufanya kazi na watu wa aina mbalimbali.""",Normal
"""Kila siku ni nafasi mpya ya kujifunza.""",Normal
"""Nataka kuandika hadithi zangu mwenyewe.""",Normal
"""Tunaweza kuboresha maisha yetu kwa kushirikiana.""",Normal
"""Ninapenda kusoma vitabu vya sayansi.""",Normal
"""Sisi ni sehemu ya jamii kubwa na tunapaswa kusaidiana.""",Normal
"""Unajua nini? Huyu mtu ni mjinga kabisa!""",Offensive Language
"""Usijaribu kunionyesha, unajua chochote?""",Offensive Language
"""Sijali kama unakosea, wewe ni wa kupuuzia.""",Offensive Language
"""Hata huwezi kufanya jambo rahisi kama hili!""",Offensive Language
"""Kila wakati unaleta matatizo tu.""",Offensive Language
"""Unajua nini? Wewe ni mzigo kwangu.""",Offensive Language
"""Huyu mtu anafaa kuwa na aibu kwa matendo yake.""",Offensive Language
"""Sijui kwanini unajifanya kuwa bora kuliko wengine.""",Offensive Language
"""Watu wengine ni wapumbavu kabisa.""",Offensive Language
"""Kila mtu anajua wewe ni mnafiki.""",Offensive Language
"""Watu wa kabila hili hawafai na wanapaswa kuondolewa.""",Hate Speech
"""Tunahitaji kuondoa watu wa kabila hili kutoka nchi yetu.""",Hate Speech
"""Watu wa dini hii ni wabaya na wanapaswa kufukuzwa.""",Hate Speech
"""Hawa watu ni wapumbavu na hawastahili kuishi hapa.""",Hate Speech
"""Tunaweza kufanikiwa tu ikiwa tutawafukuza hawa watu.""",Hate Speech
"""Watu hawa wanaharibu jamii yetu, lazima tuwatoe mbali.""",Hate Speech
"""Sisi ni bora kuliko watu wa kabila hili, wanapaswa kujua hilo.""",Hate Speech
"""Hawa watu wanatuletea aibu, lazima tuwafanye waondoke.""",Hate Speech
"""Hatupaswi kuwapa nafasi hawa watu katika jamii yetu.""",Hate Speech
"""Tunahitaji kuwa na jamii safi bila hawa watu.""",Hate Speech
